"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
8 Mar 2017 23:07:00.000,1697.463195,3809.803841,5652.984884,-0.784293,-6.106390,4.339815
8 Mar 2017 23:07:07.607,1691.436306,3763.226765,5685.813699,-0.799062,-6.139410,4.290239
8 Mar 2017 23:08:00.000,1646.933104,3435.815490,5901.507518,-0.899322,-6.355615,3.941310
8 Mar 2017 23:09:00.000,1589.614934,3047.655624,6125.621292,-1.010628,-6.578585,3.526582
8 Mar 2017 23:10:00.000,1525.741655,2646.928173,6324.407167,-1.117750,-6.774393,3.097339
8 Mar 2017 23:11:00.000,1455.577616,2235.287279,6497.047174,-1.220248,-6.942243,2.655354
8 Mar 2017 23:12:00.000,1379.412930,1814.431429,6642.831268,-1.317703,-7.081455,2.202450
8 Mar 2017 23:13:00.000,1297.562257,1386.096490,6761.160081,-1.409716,-7.191463,1.740492
8 Mar 2017 23:14:00.000,1210.363500,952.048617,6851.547242,-1.495911,-7.271822,1.271381
8 Mar 2017 23:15:00.000,1118.176420,514.077068,6913.621249,-1.575936,-7.322209,0.797044
8 Mar 2017 23:16:00.000,1021.381158,73.986959,6947.126896,-1.649464,-7.342418,0.319428
8 Mar 2017 23:17:00.000,920.376695,-366.408041,6951.926251,-1.716194,-7.332368,-0.159506
8 Mar 2017 23:18:00.000,815.579236,-805.293029,6927.999188,-1.775853,-7.292101,-0.637792
8 Mar 2017 23:19:00.000,707.420530,-1240.859192,6875.443470,-1.828196,-7.221778,-1.113468
8 Mar 2017 23:20:00.000,596.346133,-1671.311116,6794.474387,-1.873009,-7.121684,-1.584580
8 Mar 2017 23:21:00.000,482.813612,-2094.874039,6685.423939,-1.910105,-6.992222,-2.049192
8 Mar 2017 23:22:00.000,367.290705,-2509.801058,6548.739580,-1.939331,-6.833917,-2.505394
8 Mar 2017 23:23:00.000,250.253433,-2914.380228,6384.982507,-1.960565,-6.647410,-2.951305
8 Mar 2017 23:24:00.000,132.184175,-3306.941565,6194.825507,-1.973717,-6.433458,-3.385088
8 Mar 2017 23:25:00.000,13.569714,-3685.863904,5979.050356,-1.978731,-6.192930,-3.804948
8 Mar 2017 23:26:00.000,-105.100751,-4049.581599,5738.544779,-1.975582,-5.926808,-4.209149
8 Mar 2017 23:27:00.000,-223.337599,-4396.591032,5474.298970,-1.964281,-5.636178,-4.596014
8 Mar 2017 23:28:00.000,-340.652812,-4725.456902,5187.401680,-1.944870,-5.322230,-4.963935
