"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
8 Mar 2017 23:07:00.000,1697.463448,3809.803856,5652.984799,-0.784293,-6.106389,4.339815
8 Mar 2017 23:07:07.607,1691.436557,3763.226781,5685.813614,-0.799062,-6.139410,4.290239
8 Mar 2017 23:08:00.000,1646.933348,3435.815511,5901.507438,-0.899322,-6.355615,3.941310
8 Mar 2017 23:09:00.000,1589.615168,3047.655651,6125.621218,-1.010629,-6.578584,3.526582
8 Mar 2017 23:10:00.000,1525.741878,2646.928206,6324.407099,-1.117750,-6.774393,3.097339
8 Mar 2017 23:11:00.000,1455.577827,2235.287317,6497.047113,-1.220248,-6.942243,2.655354
8 Mar 2017 23:12:00.000,1379.413127,1814.431474,6642.831215,-1.317703,-7.081455,2.202450
8 Mar 2017 23:13:00.000,1297.562439,1386.096541,6761.160035,-1.409716,-7.191463,1.740492
8 Mar 2017 23:14:00.000,1210.363668,952.048673,6851.547204,-1.495911,-7.271822,1.271381
8 Mar 2017 23:15:00.000,1118.176571,514.077130,6913.621220,-1.575936,-7.322208,0.797044
8 Mar 2017 23:16:00.000,1021.381291,73.987026,6947.126876,-1.649464,-7.342418,0.319428
8 Mar 2017 23:17:00.000,920.376809,-366.407968,6951.926240,-1.716194,-7.332368,-0.159505
8 Mar 2017 23:18:00.000,815.579331,-805.292951,6927.999186,-1.775854,-7.292101,-0.637792
8 Mar 2017 23:19:00.000,707.420605,-1240.859109,6875.443477,-1.828197,-7.221778,-1.113467
8 Mar 2017 23:20:00.000,596.346187,-1671.311028,6794.474403,-1.873009,-7.121684,-1.584580
8 Mar 2017 23:21:00.000,482.813645,-2094.873948,6685.423965,-1.910105,-6.992222,-2.049192
8 Mar 2017 23:22:00.000,367.290715,-2509.800963,6548.739616,-1.939331,-6.833917,-2.505394
8 Mar 2017 23:23:00.000,250.253421,-2914.380129,6384.982553,-1.960565,-6.647410,-2.951305
8 Mar 2017 23:24:00.000,132.184140,-3306.941462,6194.825562,-1.973718,-6.433458,-3.385087
8 Mar 2017 23:25:00.000,13.569655,-3685.863799,5979.050421,-1.978731,-6.192930,-3.804948
8 Mar 2017 23:26:00.000,-105.100832,-4049.581492,5738.544854,-1.975583,-5.926808,-4.209149
8 Mar 2017 23:27:00.000,-223.337704,-4396.590922,5474.299054,-1.964281,-5.636178,-4.596014
8 Mar 2017 23:28:00.000,-340.652939,-4725.456791,5187.401773,-1.944871,-5.322230,-4.963935
8 Mar 2017 23:29:00.000,-456.562132,-5034.818168,4879.035982,-1.917428,-4.986252,-5.311380
8 Mar 2017 23:30:00.000,-570.586507,-5323.394264,4550.474122,-1.882064,-4.629626,-5.636901
8 Mar 2017 23:31:00.000,-682.254921,-5589.989904,4203.072951,-1.838923,-4.253824,-5.939137
8 Mar 2017 23:32:00.000,-791.105842,-5833.500660,3838.268004,-1.788180,-3.860397,-6.216823
8 Mar 2017 23:33:00.000,-896.689302,-6052.917630,3457.567690,-1.730045,-3.450977,-6.468796
8 Mar 2017 23:34:00.000,-998.568807,-6247.331817,3062.547034,-1.664758,-3.027262,-6.694000
8 Mar 2017 23:35:00.000,-1096.323192,-6415.938103,2654.841108,-1.592589,-2.591014,-6.891490
8 Mar 2017 23:36:00.000,-1189.548423,-6558.038766,2236.138162,-1.513839,-2.144049,-7.060439
8 Mar 2017 23:37:00.000,-1277.859326,-6673.046538,1808.172495,-1.428836,-1.688233,-7.200140
8 Mar 2017 23:38:00.000,-1360.891236,-6760.487178,1372.717100,-1.337935,-1.225466,-7.310011
8 Mar 2017 23:39:00.000,-1438.301554,-6820.001530,931.576113,-1.241516,-0.757682,-7.389596
8 Mar 2017 23:40:00.000,-1509.771214,-6851.347076,486.577117,-1.139983,-0.286834,-7.438569
8 Mar 2017 23:41:00.000,-1575.006038,-6854.398946,39.563325,-1.033761,0.185112,-7.456735
8 Mar 2017 23:42:00.000,-1633.737977,-6829.150400,-407.614302,-0.923296,0.656186,-7.444031
8 Mar 2017 23:43:00.000,-1685.726235,-6775.712766,-853.104968,-0.809051,1.124423,-7.400526
8 Mar 2017 23:44:00.000,-1730.758264,-6694.314840,-1295.065938,-0.691503,1.587873,-7.326419
8 Mar 2017 23:45:00.000,-1768.650630,-6585.301762,-1731.670381,-0.571145,2.044610,-7.222041
8 Mar 2017 23:46:00.000,-1799.249743,-6449.133353,-2161.115106,-0.448479,2.492739,-7.087848
8 Mar 2017 23:47:00.000,-1822.432450,-6286.381959,-2581.628172,-0.324018,2.930405,-6.924425
8 Mar 2017 23:48:00.000,-1838.106491,-6097.729794,-2991.476307,-0.198277,3.355802,-6.732477
8 Mar 2017 23:49:00.000,-1846.210809,-5883.965809,-3388.972125,-0.071781,3.767180,-6.512827
8 Mar 2017 23:50:00.000,-1846.715729,-5645.982117,-3772.481092,0.054949,4.162851,-6.266412
8 Mar 2017 23:51:00.000,-1839.622998,-5384.769989,-4140.428213,0.181387,4.541197,-5.994280
8 Mar 2017 23:52:00.000,-1824.965679,-5101.415453,-4491.304416,0.307015,4.900680,-5.697580
8 Mar 2017 23:53:00.000,-1802.807931,-4797.094530,-4823.672611,0.431316,5.239840,-5.377560
8 Mar 2017 23:54:00.000,-1773.244643,-4473.068121,-5136.173392,0.553782,5.557307,-5.035561
8 Mar 2017 23:55:00.000,-1736.400960,-4130.676593,-5427.530381,0.673913,5.851803,-4.673010
8 Mar 2017 23:56:00.000,-1692.431674,-3771.334081,-5696.555184,0.791221,6.122148,-4.291411
8 Mar 2017 23:57:00.000,-1641.520512,-3396.522545,-5942.151953,0.905230,6.367262,-3.892344
8 Mar 2017 23:58:00.000,-1583.879318,-3007.785601,-6163.321557,1.015479,6.586171,-3.477452
8 Mar 2017 23:59:00.000,-1519.747116,-2606.722161,-6359.165331,1.121523,6.778006,-3.048439
9 Mar 2017 00:00:00.000,-1449.389098,-2194.979912,-6528.888424,1.222935,6.942011,-2.607061
9 Mar 2017 00:01:00.000,-1373.095501,-1774.248649,-6671.802724,1.319308,7.077538,-2.155119
9 Mar 2017 00:02:00.000,-1291.180406,-1346.253491,-6787.329375,1.410254,7.184058,-1.694452
9 Mar 2017 00:03:00.000,-1203.980459,-912.748011,-6875.000872,1.495409,7.261154,-1.226932
