"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
8 Mar 2017 23:07:00.000,1697.585148,3809.749503,5652.984884,-0.784489,-6.106364,4.339815
8 Mar 2017 23:07:07.607,1691.556767,3763.172620,5685.813699,-0.799259,-6.139384,4.290239
8 Mar 2017 23:08:00.000,1647.043085,3435.762769,5901.507518,-0.899525,-6.355586,3.941310
8 Mar 2017 23:09:00.000,1589.712490,3047.604738,6125.621292,-1.010839,-6.578552,3.526582
8 Mar 2017 23:10:00.000,1525.826383,2646.879332,6324.407167,-1.117967,-6.774357,3.097339
8 Mar 2017 23:11:00.000,1455.649168,2235.240684,6497.047174,-1.220470,-6.942204,2.655354
8 Mar 2017 23:12:00.000,1379.471010,1814.387273,6642.831268,-1.317930,-7.081413,2.202450
8 Mar 2017 23:13:00.000,1297.606625,1386.054954,6761.160081,-1.409946,-7.191418,1.740492
8 Mar 2017 23:14:00.000,1210.393975,952.009872,6851.547242,-1.496144,-7.271775,1.271381
8 Mar 2017 23:15:00.000,1118.192876,514.041274,6913.621249,-1.576170,-7.322158,0.797044
8 Mar 2017 23:16:00.000,1021.383526,73.954264,6947.126896,-1.649699,-7.342365,0.319428
8 Mar 2017 23:17:00.000,920.364966,-366.437503,6951.926251,-1.716429,-7.332314,-0.159506
8 Mar 2017 23:18:00.000,815.553458,-805.319135,6927.999188,-1.776087,-7.292044,-0.637792
8 Mar 2017 23:19:00.000,707.380809,-1240.881837,6875.443470,-1.828428,-7.221720,-1.113468
8 Mar 2017 23:20:00.000,596.292633,-1671.330204,6794.474387,-1.873237,-7.121624,-1.584580
8 Mar 2017 23:21:00.000,482.746554,-2094.889494,6685.423939,-1.910329,-6.992161,-2.049192
8 Mar 2017 23:22:00.000,367.210365,-2509.812814,6548.739580,-1.939550,-6.833855,-2.505394
8 Mar 2017 23:23:00.000,250.160141,-2914.388237,6384.982507,-1.960778,-6.647347,-2.951305
8 Mar 2017 23:24:00.000,132.078317,-3306.945794,6194.825507,-1.973923,-6.433394,-3.385088
8 Mar 2017 23:25:00.000,13.451726,-3685.864337,5979.050356,-1.978929,-6.192867,-3.804948
8 Mar 2017 23:26:00.000,-105.230381,-4049.578233,5738.544779,-1.975772,-5.926745,-4.209149
8 Mar 2017 23:27:00.000,-223.478337,-4396.583880,5474.298970,-1.964461,-5.636115,-4.596014
8 Mar 2017 23:28:00.000,-340.804077,-4725.445995,5187.401680,-1.945041,-5.322168,-4.963935
8 Mar 2017 23:29:00.000,-456.723150,-5034.803663,4879.035881,-1.917588,-4.986191,-5.311380
8 Mar 2017 23:30:00.000,-570.756740,-5323.376110,4550.474012,-1.882212,-4.629566,-5.636901
8 Mar 2017 23:31:00.000,-682.433664,-5589.968175,4203.072832,-1.839059,-4.253765,-5.939137
8 Mar 2017 23:32:00.000,-791.292358,-5833.475446,3838.267877,-1.788304,-3.860340,-6.216823
8 Mar 2017 23:33:00.000,-896.882821,-6052.889035,3457.567556,-1.730155,-3.450921,-6.468796
8 Mar 2017 23:34:00.000,-998.768529,-6247.299960,3062.546893,-1.664855,-3.027208,-6.694000
8 Mar 2017 23:35:00.000,-1096.528291,-6415.903115,2654.840961,-1.592672,-2.590963,-6.891490
8 Mar 2017 23:36:00.000,-1189.758052,-6558.000791,2236.138009,-1.513908,-2.144001,-7.060439
8 Mar 2017 23:37:00.000,-1278.072619,-6673.005733,1808.172336,-1.428890,-1.688187,-7.200140
8 Mar 2017 23:38:00.000,-1361.107310,-6760.443711,1372.716936,-1.337974,-1.225423,-7.310011
8 Mar 2017 23:39:00.000,-1438.519517,-6819.955582,931.575945,-1.241540,-0.757642,-7.389596
8 Mar 2017 23:40:00.000,-1509.990167,-6851.298836,486.576945,-1.139992,-0.286797,-7.438569
8 Mar 2017 23:41:00.000,-1575.225075,-6854.348613,39.563151,-1.033755,0.185145,-7.456735
8 Mar 2017 23:42:00.000,-1633.956195,-6829.098182,-407.614478,-0.923275,0.656215,-7.444031
8 Mar 2017 23:43:00.000,-1685.942732,-6775.658877,-853.105146,-0.809015,1.124449,-7.400526
8 Mar 2017 23:44:00.000,-1730.972147,-6694.259505,-1295.066118,-0.691452,1.587895,-7.326419
8 Mar 2017 23:45:00.000,-1768.861016,-6585.245207,-1731.670560,-0.571080,2.044628,-7.222041
8 Mar 2017 23:46:00.000,-1799.455764,-6449.075811,-2161.115285,-0.448400,2.492753,-7.087848
8 Mar 2017 23:47:00.000,-1822.633258,-6286.323669,-2581.628349,-0.323924,2.930416,-6.924425
8 Mar 2017 23:48:00.000,-1838.301258,-6097.670994,-2991.476481,-0.198170,3.355809,-6.732477
8 Mar 2017 23:49:00.000,-1846.398733,-5883.906742,-3388.972296,-0.071660,3.767182,-6.512827
8 Mar 2017 23:50:00.000,-1846.896037,-5645.923026,-3772.481260,0.055082,4.162849,-6.266412
8 Mar 2017 23:51:00.000,-1839.794947,-5384.711117,-4140.428376,0.181532,4.541192,-5.994280
8 Mar 2017 23:52:00.000,-1825.128563,-5101.357042,-4491.304574,0.307172,4.900670,-5.697580
